Issue ID,Parent ID,Summary,Issue Type,Labels,Description
1,,Fase 0 — Base del proyecto y puerta de calidad,Epic,fase,"Permite: que ningún integrante pueda pushear código que no pasó lint, tests y la revisión del agente en su máquina, y que nada llegue a main sin CI verde y una aprobación humana.

Equipo: ambos. Decisiones que aplica: 0013, 0014, 0016, 0017, 0018.
Detalle: docs/plan-de-fases.md, ""Fase 0""."
2,1,HU-0.1 Estructura del monorepo con linters y formateadores,Story,historia,"Como desarrollador, quiero que el repositorio tenga la estructura backend/, frontend/, solver/, docs/ con los linters y formateadores de cada parte configurados, para que los cuatro trabajemos con las mismas reglas desde el primer commit.

Aceptación:
- ruff, mypy, eslint, prettier, tsc corren sin errores sobre el esqueleto.
- Cada parte tiene un test trivial que pasa.
- Versiones fijadas: Python 3.14, Node 24 (decisión 0017).

Estado al 2026-09-16: hecho en PR #1."
3,1,"HU-0.2 Hook de pre-push con lint, tests y revisión del agente",Story,historia,"Como desarrollador, quiero un hook de pre-push versionado en el repo que corra lint, tests y la revisión del agente sobre lo que voy a subir, y que bloquee el push si hay hallazgos bloqueantes, para no subir código que no pasa la puerta (decisiones 0016, 0018).

Aceptación:
- Un push con un bug plantado queda bloqueado con el hallazgo a la vista; uno correcto sale.
- La salida queda en .review/ lista para pegar en el PR.
- El README explica cómo activar el hook en un clon nuevo.
- Funciona con Claude Code, Codex o Gemini (AULERO_AGENTE).

Casos borde (cada uno con test en .githooks/tests/test_pre_push.sh):
- Push que toca solo docs/: no invoca al agente.
- Push que toca solo frontend/: no corre los chequeos de Python (y viceversa).
- Push sin cambios respecto de origin/main: no invoca al agente.
- Agente ausente del PATH, caído o colgado más de 10 min: falla con mensaje claro.
- Rama con varios commits: revisa el diff acumulado.
- Veredicto BLOQUEADO: corta el push y muestra cómo descartar; con descarte del autor, deja pasar y registra el motivo.
- APROBADO seguido de una mención a BLOQUEADO en el texto: no bloquea.
- El diff no incluye lockfiles; un diff con ``` no rompe el prompt.
- Cambios sin commitear: aviso, no bloqueo.
- Borrar una rama remota: no revisa nada. Varias ramas a la vez: una revisión por rama. Sin red: última origin/main conocida, con aviso.

Estado al 2026-09-16: hecho en PR #1."
4,1,HU-0.3 CI en GitHub Actions y main protegida,Story,historia,"Como desarrollador, quiero que cada pull request corra lint, formato, tests y la regla de importación solver/ ↛ backend/ en GitHub Actions, y que main esté protegida exigiendo CI verde y la aprobación de otro integrante, para que haya revisión humana además de la del agente.

Aceptación:
- Un PR de prueba que rompe lint queda bloqueado; uno correcto se mergea solo con aprobación.
- main: check ""CI OK"" obligatorio, 1 aprobación, conversaciones resueltas, sin force push, aplica a admins.

Casos borde:
- PR que toca solo docs/: CI pasa sin correr tests de código.
- solver/ importando backend/: CI falla (test en solver/tests/test_frontera.py).

Estado al 2026-09-16: protección activa; PR #1 pasa CI y espera la primera aprobación ajena."
5,1,HU-0.4 README de arranque,Story,historia,"Como desarrollador, quiero un README en la raíz con cómo levantar cada parte y la base de datos con un solo comando, para ponerme a trabajar sin preguntar.

Aceptación: clon nuevo → mise install, uv sync, npm ci, docker compose up -d, git config core.hooksPath .githooks; instrucciones para Linux, macOS y Windows (WSL2); qué agente usa el hook.

Estado al 2026-09-16: hecho en PR #1."
6,1,HU-0.5 Enlace del repositorio con Jira,Story,historia,"Como desarrollador, quiero que el remoto tenga el proyecto de Jira enlazado (clave AUL en ramas y commits), para seguir el avance sin cargar nada a mano.

Aceptación: la integración GitHub ↔ Jira muestra ramas y PRs con clave AUL-n en la historia correspondiente."
7,1,Cierre de la Fase 0,Task,cierre,"Checklist de cierre (docs/plan-de-fases.md, ""Cierre de una fase""):
1. Verificación completa con la salida pegada (README → Verificar).
2. informe-de-gestion.md: fase marcada, fecha, capacidad nueva en lenguaje llano.
3. arquitectura.md: módulos, interfaces, decisiones aplicadas, deuda con su señal.
4. Commit ""Fase 0 — Base del proyecto y puerta de calidad"".
5. Handoff: Funciona / Abierto / Decisiones / Sigue.

Bloqueado por: merge del PR #1 con aprobación ajena; HU-0.5."
8,,Fase 1 — Cargar los datos de un período y verlos,Epic,fase,"Permite: que el planificador suba el Excel de un período, vea la lista de errores de validación con fila y motivo, y vea los datos cargados en la web. Y que los equipos A y B tengan el formato de instancia normalizada publicado, generable desde la base, para trabajar sin la web.

Equipo: PPS (1.1–1.4, 1.6), A + B (1.5). Decisiones que aplica: 0004, 0005, 0006, 0007, 0009, 0012, 0013, 0015.
Detalle: docs/plan-de-fases.md, ""Fase 1"". Las definiciones pendientes de esta fase se toman ANTES de empezar sus historias."
9,8,HU-1.1 Descargar la plantilla Excel del período,Story,historia,"Como planificador, quiero descargar la plantilla Excel del período con todas sus hojas y columnas, para cargar los datos sin adivinar el formato.

Aceptación: la plantilla refleja los cambios respecto del Excel de ejemplo (docs/arquitectura.md §2): hoja Materia_Carrera; una sola columna Alumnos; Dictados_Semana (defecto 1) y Tipos_Aula_Alternativos; varios docentes por comisión; configuración con semanas, fecha de inicio y turnos; bloque de 30 min; hojas Preferencia_Docente y Dictados_Prefijados."
10,8,HU-1.2 Subir el Excel y validarlo entero antes de guardar,Story,historia,"Como planificador, quiero subir el Excel completo y que el sistema lo valide entero antes de guardar nada, para no dejar un período a medio cargar.

Aceptación: si hay al menos un error, no se persiste nada; si no hay errores, se persiste todo en una transacción.

Casos borde (un test nombrado por cada uno):
- Falta una hoja obligatoria; falta una columna obligatoria; columna extra desconocida (se ignora con advertencia).
- Excel vacío; Excel con solo la configuración.
- Período reimportado mientras existe una corrida: se bloquea (la regla definitiva es de la Fase 4)."
